original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
The Omen,The Omen,en,1976-06-25,27,1590,7,2800000,60922980,111,"Horror, Thriller",1976
The Others,The Others,en,2001-08-02,27,5398,7,17000000,209947037,101,"Horror, Mystery, Thriller",2001
1408,1408,en,2007-06-22,27,3579,6,25000000,132963417,104,"Horror, Mystery",2007
Devil,Devil,en,2010-09-16,27,2466,6,10000000,33583175,80,"Horror, Mystery, Thriller",2010
The Collector,The Collector,en,2009-07-09,27,1194,6,3400000,114000000,88,"Horror, Thriller",2009
Oculus,Oculus,en,2013-09-08,27,2536,6,5000000,44459951,104,Horror,2013
The Rite,The Rite,en,2011-01-28,27,1786,6,37000000,96047633,114,"Drama, Horror, Thriller",2011
The Strangers,The Strangers,en,2008-05-29,27,2000,6,9000000,82391145,86,"Horror, Mystery, Thriller",2008
Triangle,Triangle,en,2009-10-16,27,2003,6,12000000,1594955,99,Horror,2009
The Woman in Black 2: Angel of Death,The Woman in Black 2: Angel of Death,en,2014-12-30,27,908,5,15000000,48854305,98,"Drama, Horror, Thriller",2014
Death Becomes Her,Death Becomes Her,en,1992-07-30,27,2148,6,55000000,149022650,104,"Comedy, Fantasy, Horror",1992
The Fog,The Fog,en,1980-02-08,26,1166,6,1000000,21378361,89,Horror,1980
Case 39,Case 39,en,2009-08-13,26,1935,6,27000000,29000000,109,"Horror, Mystery, Thriller",2009
Firestarter,Firestarter,en,2022-05-12,26,373,6,12000000,10593000,94,"Drama, Horror, Science Fiction, Thriller",2022
Paranormal Activity 4,Paranormal Activity 4,en,2012-10-17,26,1619,5,5000000,142817992,97,Horror,2012
Alien Resurrection,Alien Resurrection,en,1997-11-12,26,3981,6,70000000,162000000,109,"Action, Horror, Science Fiction",1997
Eden Lake,Eden Lake,en,2008-09-12,26,1388,6,12850990,3984669,91,"Horror, Thriller",2008
Krampus,Krampus,en,2015-11-26,26,1709,6,15000000,61788393,98,"Comedy, Fantasy, Horror",2015
You're Next,You're Next,en,2011-09-10,26,2041,6,1000000,14347000,94,"Horror, Mystery, Thriller",2011
The Invitation,The Invitation,en,2015-08-05,26,2195,6,1000000,354835,100,"Horror, Thriller",2015
House,House,en,1986-02-27,26,433,6,3000000,19444631,93,"Comedy, Horror",1986
Unfriended,Unfriended,en,2014-10-22,26,2994,5,1000000,62882090,82,"Horror, Mystery, Thriller",2014
Little Nicky,Little Nicky,en,2000-11-10,26,1520,5,85000000,58292295,90,"Comedy, Fantasy, Horror, Romance",2000
Christine,Christine,en,1983-05-11,26,1571,6,9700000,21200000,110,Horror,1983
10 Cloverfield Lane,10 Cloverfield Lane,en,2016-03-10,26,6808,7,15000000,108286421,104,"Drama, Horror, Science Fiction, Thriller",2016
Jaws 2,Jaws 2,en,1978-06-16,26,1540,5,20000000,187884007,116,"Horror, Thriller",1978
Suspiria,Suspiria,en,2018-10-11,26,2075,6,20000000,6348889,152,"Drama, Fantasy, Horror, Thriller",2018
Twin Peaks: Fire Walk with Me,Twin Peaks: Fire Walk with Me,en,1992-06-03,26,1553,7,10000000,4160851,135,"Drama, Horror, Mystery",1992
Piranha 3DD,Piranha 3DD,en,2012-05-11,26,854,4,5000000,8493728,83,"Comedy, Horror, Thriller",2012
Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,en,2016-02-04,26,1920,6,28000000,16457494,108,"Comedy, Horror, Romance, Thriller",2016
Mandy,Mandy,en,2018-09-13,25,1537,6,6000000,1214525,122,"Action, Fantasy, Horror, Thriller",2018
From Dusk Till Dawn,From Dusk Till Dawn,en,1996-01-19,25,4977,7,19000000,25836616,108,"Action, Crime, Horror, Thriller",1996
Wolf Creek,Wolf Creek,en,2005-09-16,25,908,6,1000000,27762648,104,"Horror, Thriller",2005
Exorcist: The Beginning,Exorcist: The Beginning,en,2004-08-20,25,621,5,80000000,78000586,114,"Horror, Mystery, Thriller",2004
From Hell,From Hell,en,2001-02-08,25,2380,6,35000000,74558115,122,"Horror, Mystery, Thriller",2001
